jobma_catcher_id,is_premium,subscription_status,company_size,sub_user,wallet_amount,is_unlimited,subscription_sum,subscription_count,recorded_interview_count,live_interview_count,invites_count,interview_done,pre_recorded_kit_counts,jobs_posted,since_last_login
9800,0,0,1-25,0,55.0,0,0.0,2,0,0,0,0,0,0,3
9801,0,0,1-25,0,49.0,0,0.0,1,0,0,0,0,0,0,3
9807,0,1,101-500,0,47.0,0,176.5,1,15,0,0,15,2,9,3
9809,0,1,1-25,0,500000.0,1,0.0,1,0,0,0,0,1,2,3
9810,0,0,1-25,0,60.0,0,0.0,3,0,0,0,0,0,0,3
9820,0,1,101-500,0,50.0,0,176.5,1,0,0,0,0,0,0,3
9821,0,1,101-500,0,42.0,0,0.6,1,2,0,0,2,1,1,3
9822,0,1,1-25,0,50.0,0,0.6,1,0,0,0,0,0,0,4
9823,0,1,101-500,1,2.0,0,1.8,1,82,3,0,85,9,24,3
9824,0,1,101-500,1,149.0,0,294.1,1,8,0,0,8,1,5,3
9825,0,1,26-100,0,50.0,0,0.6,1,0,0,0,0,0,0,4
9826,0,1,1-25,0,50.0,0,0.6,1,0,0,0,0,0,0,3
9827,0,1,26-100,0,50.0,0,176.5,1,2,0,0,2,1,1,3
9828,0,1,1-25,0,500000.0,1,0.0,1,3,0,0,3,1,2,3
9829,1,1,500-1000,1,50.0,0,0.6,1,2,0,0,2,1,1,3
9833,0,1,101-500,0,50.0,0,176.5,1,0,0,0,0,0,0,3
9834,0,1,101-500,0,35.0,0,0.6,1,3,0,0,3,2,1,3
9836,0,1,101-500,1,150.0,0,2.4,2,4,0,0,4,1,1,4
9838,1,1,101-500,1,2150.0,0,26.0,5,13,3,0,16,2,1,2
9839,0,1,101-500,0,150.0,0,1.8,1,1,0,0,1,1,1,3
9840,0,1,101-500,0,50.0,0,176.5,1,0,0,0,0,0,0,3
9843,0,1,101-500,0,45.0,0,0.6,1,1,0,0,1,1,0,3
9848,1,1,1-25,1,398.0,0,123.0,8,0,0,0,0,1,1,3
9850,0,0,101-500,1,175.0,0,2.4,2,9,0,0,9,3,3,3
9854,0,1,1-25,0,50.0,0,0.6,1,0,0,0,0,1,0,3
9855,0,1,1-25,0,50.0,0,0.6,1,0,0,0,0,0,0,3
